,1 = Not at all; 2 = A little bit; 3 = OK; 4 = Quite; 5 = A lot,,,,,,,1 = Not at all; 2 = A little bit; 3 = OK; 4 = Quite; 5 = A lot,,,,,,,,1 = Not at all; 2 = A little bit; 3 = OK; 4 = Quite; 5 = A lot,,,,,,,,
number,Do you think the tour is the right length? ,Are you more interested in English and English Literature? ,Do you feel more confident in speaking English?,Did your tutor provide enough help with your learning during the tour? ,Did you enjoy the tour? ,What were your favourite activities during the tour? Why?,,English Speaking Improvement ,English Reading Improvement ,English Vocabulary Improvement,English Writing Improvement ,Literature Knowledge Improvement ,Presentation Improvement ,Which english skill have you improved the most ? ,,Communicating with each other ,Understanding yourself ,Making new friends,Becoming more empathetic,Embracing changes,Which personal development skills have you improved the most? ,,Would you mind sharing one thing that you have learnt in detail?,Other comments and suggestions
1,3,3,3,3,3,Playing football because it is very fun ,,3,3,3,3,3,3,Presentation Skills,,4,3,3,3,3,Communicating with each other,,I learnt to communicate in English fluently,The tour is very good. 
2,3,3,3,3,3,Sleep,,3,3,3,3,3,3,English Vocabulary,,1,1,1,1,1,Making new friends,,Making Friends,"No, thanks. "
3,3,4,5,5,4,"Playing basketball, it is fun to play with friends",,4,3,2,4,3,3,English Speaking,,4,4,5,3,4,Making new friends,,"I mind. I learnt vocab, writing, speaking to others with confidence. Dinosaur!  ","Yeah, it's nice.The school lesson, games and tours, except from the food. I enjoy ice cream. "
4,3,3,3,3,3,"London, eat food for humans",,3,3,3,3,3,2,NA,,2,3,3,3,3,NA,,Mind,NA
5,3,3,3,3,3,Playing football ,,3,3,3,3,3,3,NA,,4,3,4,3,3,NA,,NA,NA
6,5,1,4,3,3,Sightseeing in London,,4,2,2,2,1,2,NA,,4,2,4,2,3,"Communicating with each other + 
Making new friends",,I learnt how to play netball. ,NA
7,3,3,4,3,3.5,Going to London and buying things. I don't have to stay in school. ,,4,2,3,3,4,3,ALL,,4,1,5,4,3,ALL,,Speak English confident ,Don't always cook potatoes
8,3,2,3,3,3,My favourite activity was playing badminton. I enjoy playing badminton and it also helps me make new friends. ,,1,2,3,2,2,2,English Vocabulary,,3,1,3,1,2,Making new friends,,I learnt how to play netball,NA
9,2,3,4,5,5,London trip. It is because us did many sightseeing and know London's unique culture. ,,4,2,3,3,1,2,NA,,4,2,5,3,4,"Communicating with each other + 
Making new friends + Embracing changes",,"I've learnt differnt writng skills from the lessons, like the five senses. ",More activites and longer tour trips. Maybe less prep times because prep time equals game times. 
10,3,3,3,3,3,The Dodgeball,,5,5,5,5,5,5,NA,,5,5,5,5,5,NA,,I have improved hockey during this tour. ,
11,5,3,4,4,5,Trip to Canterbury. It's because I like to play treasure hunt. ,,5,4,4,5,3,4,English Speaking,,4,4,5,5,4,Making new friends + Becoming more empathetic,,I have learnt to accept different environment and culture,NA
12,3,1,3,3,3,Playing Basketball with my school mate. Go to the beach.,,3,3,3,3,3,3,NA,,3,3,4,2,2,Making new friends,,NA,NA
13,5,5,5,5,5,Going to the British Museum. I saw Chinese ? and was impressed by our heritage. ,,5,5,4,4,4,4,English Speaking+ English Writing + Presentation Skills,,5,5,5,5,5,Communicating with each other + Making new friends + Becoming more empathetic,,How to dance in Disco,A brilliant tour trip certainly. 
14,3,3,3,3,3,Dodgeball. we play as a team. ,,3,3,3,3,3,3,English Speaking,,3,3,5,3,3,Making new friends,,I learnt to speak in English better,None 
15,4,4,4,4,3,"London trip, especially visiting the British Museum. It is because the gallery is abosolutely captivating, fascinating and astonishing. ",,3,2,5,5,4,3,English Vocabulary,,5,3,4,4,3,Making new friends,,power of friendship,NA
16,3,2,5,3,4,London tour. Seeing the majestic attractions of the capital of UK is a dream of mine. ,,5,2,3,4,2,5,Presentation Skills,,3,2,4,2,5,Communicatibg with each other,,Persuading a large crowd of people to believe in something/ motivating is quite a daunting task. But it can be done through powerful language and through preparation. ,NA
17,3,4,5,5,4,"Visiting the British Museum, I saw many famous things there and learnt a lot. ",,5,3,3,4,3,5,NA,,5,2,5,3,4,Communicating with each other + Making new friends ,,"Presentation skills, I now have the courage to go onto stage and speaks freely. ",
18,3,3,3,3,4,Visiting British Museum because I learnt a lot,,3,3,4,4,4,2,NA,,4,3,5,3,2,NA,,"Team spirit. During netball, we needed to pass the ball to each other to score",NA
19,5,4,4,3,4,The London Trip's Mouse Trap because the plot is written extremely well and I enjoyed it a lot,,5,4,5,5,3,4,English speaking,,5,3,5,4,4,"Communicating with each other
Making new friends",,Hockey. I learnt the rules of the hockey and enjoyed it a lot. Playing hockey as a team is also so fun,NA
20,3,2,2,3,1,"Snacks, delicious",,3,3,3,3,3,3,English Vocubulary,,3,3,3,3,3,NA,,Friendship,
21,4,5,5,5,5,"Going to Canterbury  cathedral, because I can lit candles for wishing and se the beauty of stained glass,",,4,4,5,4,5,4,"English Speaking
English Vocabulary
Presentation Skills",,5,4,5,5,5,"Making New Friends
Embracing Changes",,"Not to follow others, that night because someone invited girls to dorm play boardgames and many of them are playing caards. I then chose to follow but got caught. So, I have learnt not to folow others, especially if it's bad",Have Clear Schedule
22,2,2,2,2,2,sleeping beacuse it can rest my body,,2,2,2,2,2,2,"English Speaking, English Vocabulary,
Presentation Skills",,3,3,3,3,3,"Communicating With Each other,
Understanding yourself,
Embracing Changes,
Making new Friends,
Becoming more empathatic",,To Make new Friends,The tour is a little bit too many rules nad maybe give more space to us to have more rest
23,4,2,2,4,4,"Outing Trips, dodgeball and basketball",,3,3,3,3,2,3,English Writing,,4,4,4,4,4,Making New Friends,,NA,NA
24,5,5,5,4,5,My favourite activities includes writing stories on my prep-book and playing badminton. I also like designing the magazine,,4,4,5,5,4,4,NA,,4,4,4,5,5,"Communicating With Each other,
Understanding yourself,
Embracing Changes,",,"What I have learnt in detail is how to present speech, which requires alliteration, different descriptive devices and eye contact etc. It was fun debating with everyone","Impeccable, Bittersweet moments will forever last. It was truly perfect if rice were cooked better"
25,4,4,5,5,5,Treasure hunting and many board games. This is because the process is challenging but intriguing ,,4,1,4,5,4,4,English Writing,,5,4,5,4,4,"Communicating With Each , Making new Friends,other,",,"The way of eating Scones. We can eat it with butter, jam and cream. We need to use specialized thick cream or it will melt",NA
26,4,5,3,4,4,"Sleeping, meeting the locals",,3,1,1,1,1,3,Enlish Speaking and Presentation skillls,,3,3,3,3,3,Making new friends and embracing changes,,Making New Friends,NA
27,3,3,3,3,3,"Play rounders, (Ebglish baseball) because I expereince the teamwork of winnning together",,3,3,3,3,3,3,"English Speaking, English Vocabulary, English Writing
",,3,3,3,4,3,"Communicating With Each other,
Understanding yourself,
Embracing Changes,
Making new Friends,
Becoming more empathatic",,yes,NA
28,4,4,5,5,5,My favourite one is the London trip because it let me understand more about UK,,4,4,3,5,4,5,"English Writing, Presentation Skills",,4,4,4,5,5,"Embracing Changes, Becoming more empathetic",,"I have learnt how top present more confidentaly. I have learnt that for eye colour, we would just look as far as you can, and the have open up and open changes",More food options for us to choose
29,4,3,4,4,3,"London Day Trip, Playing cards at midnight",,4,3,3,4,3,3,English Writing,,4,2,4,4,4,Making New Friends,,"How to play cards. How to communicate and make from, Running fast to escape","Convocation, less potato"
30,4,4,5,5,5,London Trip and Playing Poker during Midnight. ,,5,3,4,3,3,2,"English Speaking, English Vocabulary, ",,5,5,5,5,5,"Communicating With Each other, Making new Friends,",,Communicating in English with Foreigner. Gain confidence. ,Fantastico! Don't Always Potatoes
31,3,2,4,3,5,Siightseeing. I love to see new things and especially landmarks in other countries,,4,3,4,3,3,5,"English Speaking, English Vocabulary
",,5,3,5,5,4,"Communicating With Each other, 
Making new Friends,
Becoming more empathatic",,NA,This Trip made me very happy
32,3,2,3,2,2,I like the moments when I played table tennis with my buddies because that was a moment when I could make friends and play together. ,,2,1,3,4,2,3,"English Writing, English Vocabulary",,3,4,4,3,3,Making new friends,,"I think I gave learnt to ignore other's opinions. Sometimes not everyone likes yoy or apprciate you, but life must carry on, so through the trip, I learnt to shrug off other's critisim and continue. ","The lesson can be more interesting and engaging, and I hope our group can have a bigger room to sleep in. "
33,5,5,5,5,4,"Watching fireworks, because it is my first time to watch them and it is so close to us and so beautiful. ",,4,5,5,4,5,5,"English Vocabulary, Presentation Skills",,4,5,5,5,5,"Making new friends, embracing changes",,Debate,NA

34,5,4,4,4,4,Basketball ,,4,3,4,4,4,3,English Speaking,,3,4,4,4,4,Embracing Changes ,,I learnt how to wash clothes,NA
